"route","ssnt","ssme","ssnti","ssmei"
"124_68_280",-802.85932765506,-437.079591390101,-1626.81829742415,-1629.06571958022
"124_68_281",-1650.65757447594,-841.198092549784,-3788.60917194206,-3804.84221587165
"124_68_282",-1105.06957805646,-556.985233902907,-2513.04294474197,-2519.71164572402
"124_68_284",-912.888949683907,-424.220485500543,-1905.79953938992,-1907.35981152962
"124_68_292",-1402.85486552505,-597.507200514794,-3699.85087603409,-3710.6733386357
"124_68_296",-2269.73585224768,-1108.59380685447,-10389.0275209382,-10422.4632801654
"124_68_297",-1301.0266497831,-698.893289965069,-4030.90851874707,-4035.10111505351
"124_68_298",-2275.12689213466,-927.169445571787,-7333.73734795917,-7351.73263960415
"124_68_300",-1183.27304418199,-677.795552304258,-4482.72865428731,-4493.32005481754
"124_68_301",-1044.65038242039,-674.101456268736,-4828.65088647244,-4840.80483799328
"124_68_303",-1082.13488277296,-596.600257751654,-5000.39060874572,-5024.39032998405
"124_68_308",-1862.65774582377,-706.380886684898,-6040.88884291759,-6045.21746378365
"124_68_312",-1347.08913845676,-797.597489538957,-3536.83895365824,-3543.38079826654
"124_68_316",-1683.51466268978,-815.370632326327,-4750.49256690735,-4760.33150252848
"124_68_317",-1301.67606576293,-749.425994280632,-5646.6232111539,-5667.11714162992
"124_68_319",-3058.35056780978,-1125.44659868291,-9000.75311144433,-9017.12373145344
"124_68_323",-731.94538816565,-500.887308485574,-3111.56131162476,-3119.12680487987
"124_68_324",-1587.96317074636,-903.589695563052,-5540.47692711973,-5549.51776641903
"124_68_327",-866.61381315909,-553.004126990328,-2259.07991164666,-2261.88262351041
"124_68_328",-770.791200200425,-469.644620886696,-1865.68075214983,-1865.89616619188
"124_68_338",-1177.26587627779,-649.688436725491,-3022.88620631456,-3034.32349584084
"124_68_350",-1027.54300627294,-657.772888043772,-2965.92570682879,-2972.34899993114
"124_68_452",-1446.83892687626,-750.086290571512,-4350.72655526675,-4353.04080795315
"124_76_001",-2746.23073875064,-1019.53879429941,-9939.62857263518,-9965.38492079599
"124_76_002",-1237.00993594076,-718.828204164411,-4478.35603310366,-4497.3834467599
"124_76_003",-1016.02469172523,-682.339580833956,-3568.33991025029,-3569.25704342214
"124_76_004",-1756.60194256715,-711.318399106071,-6384.67079771595,-6410.40742937708
"124_76_005",-3016.34438270956,-947.856638398184,-14734.3672893194,-14775.163682861
"124_76_006",-1146.6512816332,-801.180046604014,-3651.54911154079,-3669.25159415764
"124_76_007",-2116.26741440292,-791.140156282029,-6863.97133031745,-6877.28963619229
"124_76_008",-1097.98016268994,-722.925838476476,-4263.66954661486,-4272.70629489917
"124_76_009",-1340.21526236847,-738.812317542099,-4000.25246505836,-4005.47623120744
"124_76_010",-933.254900924047,-702.30027843782,-3591.41066348009,-3598.05920663796
"124_76_012",-1332.06201031383,-815.912127892517,-4604.66971090544,-4615.7659064517
"124_76_014",-1204.06983186755,-702.125687655027,-3612.92272908265,-3622.71517613205
"124_76_018",-811.21217192207,-513.564300566024,-2526.14639428417,-2528.09540867092
"124_76_019",-960.814169958023,-560.570186494873,-4449.88673225246,-4459.82364718059
"124_76_021",-728.051607117416,-452.39899839662,-4860.1933750762,-4876.37260788501
"124_76_022",-1286.007181981,-745.602761955736,-4374.76934618414,-4387.49223341595
"124_76_023",-912.093935080559,-548.232503145108,-5553.70244074765,-5577.76520286656
"124_76_033",-1665.3170607487,-714.046370056283,-4189.27438800701,-4206.75727477234
"124_76_039",-605.311734526496,-391.912082574523,-2001.73406398886,-2009.18163614431
"124_76_040",-1064.04167065867,-721.611952201035,-3727.5357836726,-3737.86305310439
"124_76_053",-1172.58696240708,-670.842938162594,-4585.06318468857,-4594.97736645608
"124_76_058",-1239.20484316512,-652.418818172112,-3863.10684370298,-3859.45593604165
"124_76_059",-1870.27113755339,-748.681068192847,-6312.77330160629,-6323.95219761179
"124_76_060",-970.689516215123,-604.671537396614,-3133.00393716861,-3128.94643931992
"124_76_061",-976.753376687833,-603.014473367676,-3097.18516864568,-3106.43505336487
"124_76_067",-1303.48440360225,-681.334913953731,-3403.05836949958,-3405.95123422307
"124_76_069",-1110.62925512132,-635.959438459035,-3727.54965513065,-3732.20364037954
"124_76_070",-1458.44876896354,-588.499027449763,-6174.79063375086,-6181.17881466413
"124_76_079",-1097.19837211821,-513.952784694215,-3559.56116316671,-3569.05752337835
"124_76_090",-1273.67508803319,-771.104229084772,-4571.99369791336,-4585.34068896215
"124_76_109",-1010.82414428577,-605.131852670806,-3503.94090526806,-3514.69951000633
"124_76_113",-1139.10607830314,-721.161242238152,-3753.88941007547,-3757.48677581723
"124_76_120",-809.00183041824,-627.742605507067,-3153.77665841587,-3164.21594609702
"124_76_121",-806.663270917613,-533.191561751302,-3826.21869261441,-3834.2906195127
"124_76_124",-997.133005764578,-658.067000443289,-3632.85743139631,-3639.24347471706
"124_76_125",-1640.58796351926,-842.772642969904,-5506.55561025568,-5509.24443466596
"124_76_127",-1109.60630187551,-600.444399680014,-2938.16425064874,-2941.04809291487
"124_76_136",-3100.89632387715,-1003.07464834041,-9054.57926252684,-9074.58627007669
"124_76_159",-1564.108846141,-782.53608952835,-5383.58672830963,-5405.52318973569
"124_76_165",-2880.61958143717,-1011.60795275827,-19422.607377985,-19470.6328681613
"124_76_190",-1267.56316599215,-691.732525364513,-3662.43915742564,-3662.0343236787
"124_76_201",-1534.587221174,-822.204579802088,-4285.69244591843,-4293.10318050336
"124_76_213",-1377.95884424931,-728.295418437393,-4144.03102885511,-4140.96606096151
"124_76_221",-1005.04219405621,-616.770235100291,-3446.67043553187,-3458.27628980265
"124_76_237",-831.176915831953,-451.037136489866,-2524.85513918209,-2538.17731894013
"124_76_262",-900.248676332101,-654.501725033301,-3414.32362670033,-3425.00787912639
"124_76_302",-1298.32451365838,-753.149852730101,-4269.45435841976,-4286.82152228909
"124_76_306",-1125.84117622258,-699.702456364371,-3757.26659030461,-3759.03340603151
"124_76_309",-1364.10737284141,-851.853484326487,-4725.24781170371,-4738.08160077412
"124_76_310",-1050.90366286591,-572.991583679683,-4177.14261874532,-4185.03753850326
"124_76_314",-1647.30790212837,-802.00862947745,-4778.07298878548,-4788.99916068741
"124_76_321",-993.88879304095,-610.280981896589,-4668.84107769103,-4681.00350653328
"124_76_324",-1078.48362534494,-752.8650020274,-3663.74252683068,-3665.12282957077
"124_76_343",-1957.57517932066,-778.086526877932,-5995.44002685902,-5998.74340796361
"124_76_345",-1300.27032579405,-651.35345746932,-3784.84482970001,-3788.42567483373
"124_76_390",-958.45638226836,-673.065308418699,-3957.93120365724,-3976.87877839609
"124_76_417",-1509.64011101604,-781.025321346119,-4428.76293579963,-4438.89346851524
"124_76_439",-1032.14652759192,-619.945227350979,-3327.64802494968,-3335.22186130753
"124_76_537",-612.440132852897,-416.120976205818,-2106.60852436785,-2109.67633876346
"124_76_565",-731.80879752285,-504.374718689734,-1557.6490959216,-1561.42928161069
"124_79_005",-520.089899398088,-368.361274342152,-2794.28600633914,-2807.60666896546
"124_79_007",-1312.77453182733,-624.896375771926,-4431.66016897505,-4446.97628583959
"124_79_016",-863.973545406298,-502.158369953911,-3022.56799666948,-3025.47611460825
"124_79_024",-1067.72841776235,-622.642674655694,-3860.39777704277,-3869.411829709
"124_79_032",-1663.45118023514,-805.403118619589,-5813.46369326386,-5816.88646445977
"124_79_033",-2511.26017643913,-1079.23576820667,-8527.9664546748,-8541.03536008239
